TSE產業_代碼,TSE產業_名稱,公司數,觀測數_公司年,水資料筆數,有水資料公司數,綠電筆數,有綠電公司數,水與綠電皆有筆數,水電CAPEX筆數,TobinsQ筆數,迴歸可用筆數
M2324,半導體業,288,2722,210,43,8,7,5,2604,2718,213
M2328,電子零組件,267,2805,158,37,14,12,3,2764,2804,169
M2326,光電業,203,1946,107,32,10,8,2,1901,1943,115
M2000,鋼鐵工業,53,624,95,18,4,4,2,619,624,97
M1721,化學工業,62,627,67,17,0,0,0,604,624,67
M1400,紡織纖維,58,649,53,14,2,2,0,644,649,55
M1200,食品工業,46,443,50,8,0,0,0,426,443,50
M2325,電腦及週邊設備業,143,1453,44,18,12,8,1,1421,1453,55
M1300,塑膠工業,26,303,43,9,0,0,0,302,302,43
,,278,1720,39,9,15,10,2,323,442,0
M2327,通訊網路業,112,1181,36,9,1,1,0,1161,1179,37
M9900,其他,144,1418,35,7,5,3,0,1347,1418,40
M1500,電機機械,130,1397,34,9,6,3,2,1357,1396,38
M2331,其他電子業,128,1239,28,8,4,4,1,1185,1238,31
M2200,汽車工業,44,461,28,6,4,3,0,447,460,32
M2100,橡膠工業,13,154,25,5,3,2,1,153,154,27
M1100,水泥工業,7,84,25,5,0,0,0,84,84,25
M3500,綠能環保,73,522,25,6,4,3,0,453,522,29
M1722,生技醫療業,300,2781,23,9,3,1,0,2603,2774,26
M3700,運動休閒,33,341,23,4,4,3,0,326,341,27
M3800,居家生活,39,400,17,4,1,1,0,380,399,18
M9700,油電燃氣業,14,166,14,2,0,0,0,164,166,14
M2600,航運業,40,405,12,3,1,1,0,398,405,13
M1600,電器電纜,20,230,11,5,0,0,0,229,230,11
M1900,造紙工業,8,88,9,4,0,0,0,87,88,9
M2329,電子通路業,47,490,6,1,2,2,0,479,490,8
M2700,觀光餐旅,74,725,6,2,0,0,0,696,724,6
M2500,建材營造,98,1110,5,2,0,0,0,1049,1107,5
M1800,玻璃陶瓷,7,67,3,1,0,0,0,67,67,3
M3300,農業科技,13,109,3,1,0,0,0,102,108,3
M3600,數位雲端,49,394,3,1,0,0,0,351,394,3
M2300,電子工業,6,48,0,0,0,0,0,46,48,0
M2330,資訊服務業,64,618,0,0,1,1,0,589,617,1
M2900,貿易百貨,22,241,0,0,0,0,0,238,241,0
M3200,文化創意業,53,540,0,0,0,0,0,504,538,0
M3400,電子商務,2,11,0,0,0,0,0,9,11,0
W91,存託憑證,32,211,0,0,1,1,0,1,206,1
